Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,age,education,Gender
xqd20166231,PAIDOFF,1000,30,9/8/2016,10/7/2016,9/14/2016,45,High School or Below,male
xqd20168902,PAIDOFF,1000,30,9/8/2016,10/7/2016,10/7/2016,50,Bechalor,female
xqd20160003,PAIDOFF,1000,30,9/8/2016,10/7/2016,9/25/2016,33,Bechalor,female
xqd20160004,PAIDOFF,1000,15,9/8/2016,9/22/2016,9/22/2016,27,college,male
xqd20160005,PAIDOFF,1000,30,9/9/2016,10/8/2016,9/23/2016,28,college,female
xqd20160706,PAIDOFF,300,7,9/9/2016,9/15/2016,9/9/2016,35,Master or Above,male
xqd20160007,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/7/2016,29,college,male
xqd20160008,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/5/2016,36,college,male
xqd20160909,PAIDOFF,1000,30,9/9/2016,10/8/2016,10/8/2016,28,college,male
xqd20160010,PAIDOFF,800,15,9/10/2016,9/24/2016,9/24/2016,26,college,male
xqd20160011,PAIDOFF,300,7,9/10/2016,9/16/2016,9/11/2016,29,college,male
xqd20160012,PAIDOFF,1000,15,9/10/2016,10/9/2016,10/9/2016,39,High School or Below,male
xqd20160013,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/7/2016,26,college,male
xqd20160014,PAIDOFF,900,7,9/10/2016,9/16/2016,9/13/2016,26,college,female
xqd20160015,PAIDOFF,1000,7,9/10/2016,9/16/2016,9/15/2016,27,High School or Below,male
xqd20160016,PAIDOFF,800,15,9/10/2016,9/24/2016,9/24/2016,26,college,male
xqd20160017,PAIDOFF,1000,30,9/10/2016,10/9/2016,9/27/2016,40,High School or Below,male
xqd20160018,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/23/2016,32,High School or Below,male
xqd20160019,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/5/2016,32,High School or Below,male
xqd20160020,PAIDOFF,800,30,9/10/2016,10/9/2016,9/23/2016,26,college,male
xqd20160021,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/9/2016,26,college,male
xqd20160022,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/8/2016,43,High School or Below,female
xqd20160023,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/9/2016,25,High School or Below,male
xqd20160024,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/24/2016,26,college,male
xqd20160025,PAIDOFF,1000,30,9/10/2016,10/9/2016,10/3/2016,26,college,male
xqd20160026,PAIDOFF,1000,30,9/10/2016,10/9/2016,9/29/2016,29,High School or Below,male
xqd20160027,PAIDOFF,800,15,9/10/2016,9/24/2016,9/21/2016,39,Bechalor,male
xqd20170088,PAIDOFF,1000,15,9/10/2016,9/24/2016,9/23/2016,34,Bechalor,male
xqd20160029,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/22/2016,31,college,male
xqd20160030,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016,33,college,male
xqd88160031,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016,33,High School or Below,male
xqd20160032,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/7/2016,37,college,male
xqd20160033,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016,27,college,male
xqd22169034,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016,37,college,male
xqd20160035,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,33,college,male
xqd20160036,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,29,Bechalor,male
xqd20160037,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,27,High School or Below,male
xqd20160038,PAIDOFF,700,15,9/11/2016,9/25/2016,9/25/2016,33,High School or Below,male
xqd20160039,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,24,college,male
xqd20160040,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,21,Bechalor,male
xqd20160041,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,32,college,female
xqd20160042,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,30,college,male
xqd20160043,PAIDOFF,1000,7,9/11/2016,9/24/2016,9/24/2016,31,Bechalor,male
xqd20160044,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/20/2016,30,college,male
xqd20160045,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/21/2016,24,Bechalor,female
xqd20160046,PAIDOFF,800,7,9/11/2016,9/17/2016,9/12/2016,35,High School or Below,male
xqd20160047,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016,22,High School or Below,male
xqd20160048,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016,32,college,male
xqd20160049,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,32,Bechalor,male
xqd20160050,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,50,High School or Below,male
xqd20160051,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,27,college,female
xqd20160052,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,35,Bechalor,female
xqd20160053,PAIDOFF,800,15,9/11/2016,9/25/2016,9/13/2016,35,Bechalor,female
xqd20160054,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,34,High School or Below,male
xqd20160055,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,21,High School or Below,male
xqd20160056,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,25,college,male
xqd20160057,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,27,High School or Below,male
xqd20160058,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/7/2016,26,Bechalor,male
xqd20160059,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016,44,High School or Below,female
xqd20160060,PAIDOFF,800,15,9/11/2016,9/25/2016,9/22/2016,39,Master or Above,male
xqd20160061,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/30/2016,34,Bechalor,male
xqd20160062,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/24/2016,37,college,male
xqd20160063,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016,34,High School or Below,male
xqd20160064,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/12/2016,45,college,male
xqd20160065,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,24,High School or Below,male
xqd20160066,PAIDOFF,900,15,9/11/2016,9/25/2016,9/25/2016,28,college,male
xqd20160067,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016,28,Bechalor,male
xqd20160068,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,37,High School or Below,male
xqd20160069,PAIDOFF,300,7,9/11/2016,9/17/2016,9/14/2016,35,college,male
xqd20160070,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/24/2016,43,Bechalor,male
xqd20160071,PAIDOFF,800,15,9/11/2016,9/25/2016,9/22/2016,29,college,male
xqd20160072,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016,29,High School or Below,male
xqd20160073,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,33,Bechalor,female
xqd20160074,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,34,college,male
xqd20160075,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,25,college,male
xqd20160076,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/8/2016,30,High School or Below,male
xqd20160077,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/9/2016,31,Bechalor,male
xqd20160078,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,35,college,male
xqd20160079,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/30/2016,37,college,female
xqd20160080,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,44,High School or Below,female
xqd20160081,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/21/2016,28,High School or Below,male
xqd20160082,PAIDOFF,1000,7,9/11/2016,9/17/2016,9/13/2016,25,college,male
xqd20160083,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/25/2016,29,college,male
xqd20160084,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,33,college,male
xqd20160085,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,37,High School or Below,female
xqd20160086,PAIDOFF,1000,30,9/11/2016,11/9/2016,11/9/2016,33,college,male
xqd20160087,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016,24,High School or Below,female
xqd20160088,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/17/2016,27,college,female
xqd20160089,PAIDOFF,800,15,9/11/2016,9/25/2016,9/21/2016,43,Bechalor,male
xqd90160090,PAIDOFF,800,15,9/11/2016,9/25/2016,9/24/2016,46,High School or Below,female
xqd91160291,PAIDOFF,800,15,9/11/2016,9/25/2016,9/25/2016,34,college,female
xqd90160092,PAIDOFF,1000,7,9/11/2016,9/17/2016,9/17/2016,32,Bechalor,female
